Event, Time (sec), Component, Event Property,Value
427,815.08327, , id=0x0001, 0x00000001 0x00000024
428,815.572932, , id=0x0001, 0x00000001 0x00000024
429,816.12181, , id=0x0001, 0x00000001 0x00000024
430,816.61255, , id=0x0001, 0x00000001 0x00000024
431,817.10329, , id=0x0001, 0x00000001 0x00000024
432,817.59403, , id=0x0001, 0x00000001 0x00000024
433,818.08477, , id=0x0001, 0x00000001 0x00000024
434,818.574528, , id=0x0001, 0x00000001 0x00000024
435,819.064242, , id=0x0001, 0x00000001 0x00000024
436,819.61303, , id=0x0001, 0x00000001 0x00000024
437,820.10377, , id=0x0001, 0x00000001 0x00000024
438,820.59451, , id=0x0001, 0x00000001 0x00000024
439,821.08525, , id=0x0001, 0x00000001 0x00000024
440,821.575012, , id=0x0001, 0x00000001 0x00000024
441,822.064722, , id=0x0001, 0x00000001 0x00000024
442,822.61251, , id=0x0001, 0x00000001 0x00000024
443,823.10225, , id=0x0001, 0x00000001 0x00000024
444,823.59299, , id=0x0001, 0x00000001 0x00000024
445,824.08273, , id=0x0001, 0x00000001 0x00000024
446,824.572368, , id=0x0001, 0x00000001 0x00000024
447,825.12125, , id=0x0001, 0x00000001 0x00000024
448,825.61199, , id=0x0001, 0x00000001 0x00000024
449,826.10273, , id=0x0001, 0x00000001 0x00000024
450,826.59347, , id=0x0001, 0x00000001 0x00000024
451,827.08421, , id=0x0001, 0x00000001 0x00000024
452,827.574968, , id=0x0001, 0x00000001 0x00000024
453,828.064682, , id=0x0001, 0x00000001 0x00000024
454,828.61247, , id=0x0001, 0x00000001 0x00000024
455,829.10221, , id=0x0001, 0x00000001 0x00000024
456,829.59295, , id=0x0001, 0x00000001 0x00000024
457,830.08369, , id=0x0001, 0x00000001 0x00000024
458,830.57344, , id=0x0001, 0x00000001 0x00000024
459,831.12121, , id=0x0001, 0x00000001 0x00000024
460,831.61095, , id=0x0001, 0x00000001 0x00000024
461,832.10069, , id=0x0001, 0x00000001 0x00000024
462,832.59143, , id=0x0001, 0x00000001 0x00000024
463,833.08117, , id=0x0001, 0x00000001 0x00000024
464,833.570808, , id=0x0001, 0x00000001 0x00000024
465,834.11921, , id=0x0001, 0x00000001 0x00000024
466,834.60945, , id=0x0001, 0x00000001 0x00000024
467,835.09969, , id=0x0001, 0x00000001 0x00000024
468,835.58993, , id=0x0001, 0x00000001 0x00000024
469,836.079184, , id=0x0001, 0x00000001 0x00000024
470,836.56832, , id=0x0001, 0x00000001 0x00000024
471,837.116712, , id=0x0001, 0x00000001 0x00000024
472,837.60595, , id=0x0001, 0x00000001 0x00000024
473,838.09619, , id=0x0001, 0x00000001 0x00000024
474,838.58643, , id=0x0001, 0x00000001 0x00000024
475,839.076192, , id=0x0001, 0x00000001 0x00000029
476,839.565902, , id=0x0001, 0x00000001 0x00000029
477,840.11419, , id=0x0001, 0x00000001 0x00000029
478,840.60393, , id=0x0001, 0x00000001 0x00000029
479,841.09367, , id=0x0001, 0x00000001 0x00000029
480,841.58341, , id=0x0001, 0x00000001 0x00000029
481,842.073158, , id=0x0001, 0x00000001 0x00000029
482,842.62143, , id=0x0001, 0x00000001 0x00000029
483,843.11119, , id=0x0001, 0x00000001 0x00000029
484,843.60091, , id=0x0001, 0x00000001 0x00000029
485,844.09065, , id=0x0001, 0x00000001 0x00000029
486,844.58039, , id=0x0001, 0x00000001 0x00000029
487,845.070028, , id=0x0001, 0x00000001 0x00000029
488,845.61841, , id=0x0001, 0x00000001 0x00000029
489,846.10815, , id=0x0001, 0x00000001 0x00000029
490,846.59789, , id=0x0001, 0x00000001 0x00000029
